










































































# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Mar 28 10:17:07 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
44,82,"219.20059756890657,-27.520687214691932",219.20060,-27.52069,0.00016207,1SWASP J143648.17-273114.0,219.200719,-27.520567,2453860.390093,2454615.532025,9.87596,13036,13036,9.864738e+00,1.500808e-01,9.238200e-02
45,86,"221.5977981250499,-38.70264150283635",221.59780,-38.70264,0.00009469,1SWASP J144623.45-384209.2,221.597744,-38.702556,2453860.389769,2454615.531944,11.71430,22188,22187,1.175881e+01,2.147903e-01,9.454000e-02
46,87,"223.94006982448525,-45.97404126555798",223.94007,-45.97404,0.00013280,1SWASP J145545.66-455826.5,223.940261,-45.974036,2453862.256748,2454615.531782,8.19896,1888,1888,8.195682e+00,1.019204e-01,1.376200e-01
47,90,"208.97681940147464,-30.578246548024254",208.97682,-30.57825,0.00005800,1SWASP J135554.42-303441.6,208.976761,-30.578222,2454176.362708,2454589.296806,6.75339,245,245,6.687258e+00,4.785703e-01,8.395050e-01
48,91,"208.45046155432183,-34.49060936736071",208.45046,-34.49061,0.00018870,1SWASP J135348.08-342925.6,208.450333,-34.490453,2453860.222894,2454688.226019,10.45950,13605,13605,1.045805e+01,2.542839e-01,3.641000e-02
49,99,"216.5320943076407,-33.05976549769609",216.53209,-33.05977,0.00023893,1SWASP J142607.77-330335.1,216.532375,-33.059764,2453860.389942,2454688.226597,10.35505,11174,11174,1.035424e+01,3.346902e-01,1.647300e-01
50,101,"216.70769291319556,-39.87407299688325",216.70769,-39.87407,0.00011534,1SWASP J142649.87-395226.3,216.707797,-39.873989,2453872.270058,2454574.669583,6.49821,119,119,6.537433e+00,3.402803e-01,9.536630e-01
51,102,"206.847380554476,-33.331475497632454",206.84738,-33.33148,0.00021856,1SWASP J134723.42-331953.0,206.847622,-33.331397,2453860.222905,2454688.225856,11.67087,7120,7120,1.167207e+01,3.738774e-01,4.622000e-02
52,108,"224.60857924626126,-33.68094254043969",224.60858,-33.68094,0.00015283,1SWASP J145826.09-334051.0,224.608731,-33.680853,2453860.404653,2454615.532141,9.08959,9709,9709,9.089228e+00,2.964663e-01,4.511800e-02
53,109,"232.7039887432752,-37.724756909866834",232.70399,-37.72476,0.00021598,1SWASP J153049.02-374328.9,232.704250,-37.724694,2453860.390845,2454687.229919,11.48236,10498,10498,1.148854e+01,3.001678e-01,6.857000e-02
54,111,"213.20129297463515,-35.37024457272624",213.20129,-35.37024,0.00016841,1SWASP J141248.35-352212.5,213.201469,-35.370156,2453860.389838,2454688.226424,9.49394,10485,10485,9.491548e+00,8.226591e-02,9.757700e-02
55,112,"213.83887880568582,-36.83468559721165",213.83888,-36.83469,0.00017812,1SWASP J141521.38-365004.6,213.839083,-36.834617,2453860.389792,2454612.507894,9.12540,11173,11173,9.131302e+00,9.713645e-02,8.587800e-02
56,113,"205.78554030828013,-30.59057012262517",205.78554,-30.59057,0.00013578,1SWASP J134308.55-303525.7,205.785656,-30.590478,2454134.467257,2454688.225648,10.02962,11273,11273,9.945943e+00,1.291897e-01,2.053600e-01
57,114,"221.9043243106681,-30.42456940086398",221.90432,-30.42457,0.00007463,1SWASP J144737.04-302528.2,221.904350,-30.424500,2454148.500602,2454615.532106,9.86112,9983,9983,9.793140e+00,1.056116e-01,2.012880e-01
58,115,"209.89140921298315,-29.956599967152275",209.89141,-29.95660,0.00005444,1SWASP J135933.94-295723.6,209.891447,-29.956556,2454132.484988,2454688.225949,10.93177,11301,11301,1.085127e+01,1.475407e-01,2.651400e-01
59,117,"228.52909013933024,-38.15233980208755",228.52909,-38.15234,0.00010355,1SWASP J151407.00-380908.1,228.529167,-38.152256,2453860.389757,2454615.532141,9.22959,17228,17228,9.242129e+00,5.722810e-02,1.116170e-01
60,118,"226.4962639502691,-38.96835348906649",226.49626,-38.96835,0.00009233,1SWASP J150559.08-385805.7,226.496203,-38.968269,2453860.389745,2454615.532072,10.77663,21817,21817,1.078018e+01,6.597620e-02,6.200000e-02
61,122,"211.1390012845925,-31.721595187389266",211.13900,-31.72160,0.00026624,1SWASP J140433.40-314316.9,211.139178,-31.721381,2453860.223021,2454688.226111,10.84009,20383,20383,1.085905e+01,1.621996e-01,3.307700e-01
62,129,"231.27670325200023,-38.169333313587984",231.27670,-38.16933,0.00011800,1SWASP J152506.43-381009.2,231.276800,-38.169242,2453872.283148,2454601.645938,7.73216,211,211,7.936922e+00,1.103534e+00,1.180691e+00
63,130,"221.54256518958516,-28.81065351631721",221.54257,-28.81065,0.00021701,1SWASP J144610.27-284838.1,221.542811,-28.810600,2453860.390069,2454615.532106,10.82133,22376,22376,1.082250e+01,1.316209e-01,1.102200e-01
64,131,"215.2095340402519,-42.25982876526664",215.20953,-42.25983,0.00011840,1SWASP J142050.25-421535.1,215.209400,-42.259761,2453860.389595,2454688.225278,9.83301,10037,10037,9.825568e+00,3.837477e-02,5.258200e-02
65,133,"222.30240844664488,-41.563314088607285",222.30241,-41.56331,0.00017447,1SWASP J144912.61-413347.4,222.302567,-41.563181,2453862.256956,2454615.531887,10.12162,8545,8545,1.012039e+01,8.466171e-02,5.071000e-02
66,134,"226.27579932686982,-31.00101672201787",226.27580,-31.00102,0.00010521,1SWASP J150506.16-310003.5,226.275686,-31.000981,2454148.500231,2454615.532234,10.03030,9990,9990,9.913578e+00,1.677998e-01,3.001830e-01
67,137,"235.0759755705668,-38.78157931206035",235.07598,-38.78158,0.00024804,1SWASP J154018.28-384653.0,235.076183,-38.781389,2453860.391215,2454687.230116,9.33705,4279,4279,9.338036e+00,2.661447e-01,8.215300e-02
68,140,"214.0772235219148,-32.057928749394016",214.07722,-32.05793,0.00020487,1SWASP J141618.58-320328.2,214.077444,-32.057853,2453860.389954,2454612.507986,7.23864,11191,11191,7.225676e+00,1.219539e-01,1.355690e-01
69,141,"225.83271353986873,-45.50987345873801",225.83271,-45.50987,0.00019394,1SWASP J150319.89-453035.0,225.832903,-45.509731,2453862.256771,2454615.531852,10.92508,8255,8255,1.092500e+01,6.467108e-02,4.839000e-02
70,142,"215.2979605897711,-41.70700071914946",215.29796,-41.70700,0.00010957,1SWASP J142111.53-414224.9,215.298067,-41.706925,2453860.389954,2454574.669502,9.00067,6993,6993,8.981297e+00,4.163761e-02,4.535200e-02
71,143,"210.18331741621557,-39.707297636305285",210.18332,-39.70730,0.00011939,1SWASP J140044.03-394226.3,210.183475,-39.707306,2453860.388461,2454688.226377,10.62272,25272,25272,1.062542e+01,1.989023e-01,4.974000e-02
72,144,"211.94982604635237,-35.79990685608154",211.94983,-35.79991,0.00008113,1SWASP J140747.94-354759.4,211.949789,-35.799836,2453860.222917,2454688.226343,11.15849,12261,12261,1.114826e+01,1.430087e-01,1.245700e-01
73,145,"221.5669796453077,-40.614412265793355",221.56698,-40.61441,0.00016094,1SWASP J144616.12-403651.8,221.567192,-40.614408,2453860.389687,2454615.531887,11.09628,16434,16434,1.110378e+01,8.334316e-02,1.426600e-01
74,146,"228.3642861246885,-29.24666822284905",228.36429,-29.24667,0.00007248,1SWASP J151327.44-291447.7,228.364333,-29.246608,2454148.500104,2454615.532303,10.09203,9988,9988,9.976940e+00,1.650705e-01,2.842930e-01
75,147,"216.8016657568302,-40.300573987601275",216.80167,-40.30057,0.00005744,1SWASP J142712.41-401801.9,216.801739,-40.300547,2453860.389687,2454688.226863,9.59203,9852,9852,9.588574e+00,4.491758e-02,4.269300e-02
76,148,"218.83546468962615,-43.14203633389118",218.83546,-43.14204,0.00025161,1SWASP J143520.58-430831.6,218.835786,-43.142122,2453860.389572,2454688.227106,10.19164,10160,10160,1.019713e+01,3.837528e-02,3.603000e-02
77,149,"222.317233592097,-41.90785688213831",222.31723,-41.90786,0.00002010,1SWASP J144916.13-415428.2,222.317242,-41.907842,2453862.256944,2454615.531875,9.64954,8101,8101,9.648038e+00,7.460305e-02,4.311800e-02
78,150,"210.63292376689483,-33.352109731692096",210.63292,-33.35211,0.00006741,1SWASP J140231.88-332107.4,210.632861,-33.352064,2453860.222975,2454688.226146,10.94560,14207,14207,1.094202e+01,6.844830e-02,6.922000e-02
79,151,"222.13916127610582,-30.44648668566931",222.13916,-30.44649,0.00012341,1SWASP J144833.41-302647.0,222.139247,-30.446392,2454148.500579,2454601.598877,8.50183,4866,4866,8.474368e+00,1.591311e-01,1.023210e-01
80,152,"219.26425312083046,-33.17971114127102",219.26425,-33.17971,0.00015958,1SWASP J143703.46-331046.6,219.264417,-33.179633,2453862.273924,2454601.570139,8.31957,1279,1279,8.310250e+00,9.170409e-01,4.608860e-01
81,153,"213.68008475374714,-31.050789561223436",213.68008,-31.05079,0.00013505,1SWASP J141443.23-310302.4,213.680150,-31.050669,2453863.375162,2454601.497824,7.07745,1038,1038,7.037896e+00,3.257663e-01,5.572270e-01
82,155,"216.6429839816251,-44.902285278409046",216.64298,-44.90229,0.00017541,1SWASP J142634.36-445407.8,216.643167,-44.902175,2453860.389479,2454688.227014,10.42889,10157,10157,1.043561e+01,3.972013e-02,3.915000e-02
83,160,"233.39117266689402,-39.24865539460956",233.39117,-39.24866,0.00010766,1SWASP J153333.91-391455.1,233.391308,-39.248647,2453860.390775,2454687.230000,10.83545,8972,8972,1.082405e+01,3.333401e-01,2.426300e-01
84,164,"208.42989140578328,-31.261165646296266",208.42989,-31.26117,0.00005230,1SWASP J135343.18-311540.2,208.429947,-31.261189,2454134.467025,2454688.225880,11.93867,11273,11273,1.185612e+01,1.633717e-01,2.977500e-01
85,165,"210.2212671003153,-29.90887434671652",210.22127,-29.90887,0.00004172,1SWASP J140053.11-295431.9,210.221317,-29.908861,2454132.474687,2454688.225972,12.13873,11343,11343,1.205913e+01,1.703575e-01,3.096200e-01
86,170,"214.27826340914407,-36.451227503511795",214.27826,-36.45123,0.00011887,1SWASP J141706.81-362704.3,214.278403,-36.451200,2453860.389815,2454688.226551,10.52334,11266,11266,1.052462e+01,6.644573e-02,3.850000e-02
87,171,"218.1944153169319,-43.61766128957482",218.19442,-43.61766,0.00010667,1SWASP J143246.68-433703.2,218.194519,-43.617581,2453860.389549,2454688.227072,10.22893,10160,10160,1.023431e+01,4.263818e-02,5.075000e-02
88,172,"215.1843895791957,-44.387441288170464",215.18439,-44.38744,0.00014732,1SWASP J142044.29-442314.5,215.184575,-44.387375,2453860.494687,2454574.669363,9.00711,5970,5970,9.017855e+00,4.944034e-02,8.096900e-02
89,173,"222.54389174768355,-45.09928600456747",222.54389,-45.09929,0.00018929,1SWASP J145010.58-450557.0,222.544103,-45.099175,2453862.256794,2454615.531782,10.12657,8541,8541,1.013436e+01,7.966992e-02,1.157700e-01
90,174,"217.7700416244906,-43.589135863411514",217.77004,-43.58914,0.00011717,1SWASP J143104.82-433520.5,217.770122,-43.589039,2453860.389549,2454688.227049,12.03988,10156,10156,1.204248e+01,4.973582e-02,5.956000e-02
91,175,"229.59481382814892,-39.97069754105983",229.59481,-39.97070,0.00002923,1SWASP J151822.76-395814.5,229.594839,-39.970719,2453862.257002,2454615.532118,12.04277,8565,8565,1.204967e+01,7.936695e-02,1.095700e-01
92,176,"214.4133018984859,-40.861793135745486",214.41330,-40.86179,0.00010171,1SWASP J141739.21-405142.2,214.413400,-40.861722,2453862.256933,2454574.669560,7.95188,3710,3710,7.936316e+00,6.911744e-02,8.676100e-02
93,178,"221.24426313116905,-28.047712740382572",221.24426,-28.04771,0.00018474,1SWASP J144458.66-280252.1,221.244433,-28.047814,2453860.390093,2454615.532106,8.52649,11438,11438,8.570963e+00,1.842601e-01,2.095470e-01
94,180,"228.47629568523578,-43.35672765914091",228.47630,-43.35673,0.00014590,1SWASP J151354.35-432124.0,228.476489,-43.356681,2453872.270093,2454601.593009,8.12656,173,173,8.125430e+00,4.440216e-01,6.785120e-01
