# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 19 08:30:36 2018
#
# COLUMN matchid:        User List Record
# COLUMN name_user:      User Name
# COLUMN ra_user:        User RA
# COLUMN dec_user:       User Dec
# COLUMN dist_user:      Match Distance
# COLUMN sourceid:       Source ID
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN hjdstart:       Start HJD [days]
# COLUMN hjdstop:        End HJD [days]
# COLUMN wasp_mag:       WASP-band [mag]
# COLUMN npts:           Points in Light Curve
# COLUMN tm_statnpts:    Points in Statistics Calculation
# COLUMN tm_median:      Median of Time Series [mag]
# COLUMN tm_stddevwrtmed: Std dev of Time Series wrt median [mag]
# COLUMN tm_range595:    5-95% range of Time Series[mag]
#
loc_rowid,matchid,name_user,ra_user,dec_user,dist_user,sourceid,ra,dec,hjdstart,hjdstop,wasp_mag,npts,tm_statnpts,tm_median,tm_stddevwrtmed,tm_range595
76,974,"194.84497903641773,-52.3216267325651",194.84498,-52.32163,0.00035054,1SWASP J125922.90-521917.0,194.845417,-52.321403,2453922.203866,2454662.266609,11.45598,123,123,1.146401e+01,5.605951e-02,1.479700e-01
77,980,"168.82697283087444,-45.558833378084735",168.82697,-45.55883,0.00039260,1SWASP J111518.34-453331.3,168.826444,-45.558694,2453860.212766,2454662.246215,11.57164,19241,19241,1.157413e+01,4.977815e-02,4.060000e-02
78,989,"188.10655672997095,-46.816206301399035",188.10656,-46.81621,0.00011186,1SWASP J123225.53-464858.5,188.106411,-46.816256,2453860.393426,2454662.265984,10.79130,1069,1069,1.078981e+01,5.087890e-02,1.350900e-01
79,991,"185.65491630809004,-48.649724430944715",185.65492,-48.64972,0.00014284,1SWASP J122237.23-483858.8,185.655128,-48.649681,2453922.203206,2454662.265914,9.58777,116,116,9.594297e+00,7.258196e-02,1.115340e-01
80,1004,"182.53852151771088,-51.86158119410226",182.53852,-51.86158,0.00033694,1SWASP J121009.32-515140.7,182.538842,-51.861308,2453922.203137,2454662.265903,10.89005,116,116,1.088588e+01,5.444766e-02,1.052700e-01
81,1008,"182.31726865534398,-51.72117186291979",182.31727,-51.72117,0.00016360,1SWASP J120916.20-514316.4,182.317503,-51.721247,2453922.203125,2454662.265880,10.49175,116,116,1.048553e+01,9.828993e-02,1.032300e-01
82,1022,"185.63827313087344,-53.56364635164316",185.63827,-53.56365,0.00011481,1SWASP J122233.22-533348.9,185.638444,-53.563600,2453922.203380,2454662.266157,9.47604,116,116,9.471470e+00,4.134317e-02,8.713700e-02
83,1023,"182.54704973537116,-46.98751337927001",182.54705,-46.98751,0.00012333,1SWASP J121011.33-465914.9,182.547222,-46.987472,2453862.283032,2454662.247072,8.57619,1713,1713,8.625778e+00,1.435347e-01,2.329310e-01
84,1032,"201.80835094982822,-47.060138598387994",201.80835,-47.06014,0.00030362,1SWASP J132714.09-470337.0,201.808747,-47.060278,2453860.402720,2454662.266875,10.30094,3900,3900,1.036325e+01,6.849608e-02,1.291300e-01
85,1040,"174.94333816873555,-45.97827852785633",174.94334,-45.97828,0.00019621,1SWASP J113946.46-455841.6,174.943617,-45.978242,2453862.248553,2454662.246586,7.83917,2372,2372,7.912494e+00,1.567194e-01,2.238540e-01
